Leitura;Tempo de simulacao (s);Cultura monitorada;Umidade do solo (%);Situacao da umidade;Valor do LDR;pH simulado;Situacao do pH;Nitrogenio (N);Fosforo (P);Potassio (K);Total de nutrientes bons;Status da bomba;Decisao do sistema
1;0;Milho;40.00;Solo umido;3022;Alcalino;pH fora da faixa ideal;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
2;2;Milho;40.00;Solo umido;2809;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
3;4;Milho;40.00;Solo umido;2809;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
4;6;Milho;40.00;Solo umido;2707;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
5;8;Milho;40.00;Solo umido;2722;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
6;10;Milho;40.00;Solo umido;2645;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
7;12;Milho;40.00;Solo umido;2775;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
8;14;Milho;40.00;Solo umido;2504;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
9;16;Milho;40.00;Solo umido;2481;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
10;18;Milho;40.00;Solo umido;2235;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
11;20;Milho;40.00;Solo umido;2021;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
12;22;Milho;40.00;Solo umido;2085;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
13;24;Milho;40.00;Solo umido;2163;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
14;26;Milho;40.00;Solo umido;2174;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
15;28;Milho;40.00;Solo umido;2269;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
16;30;Milho;40.00;Solo umido;2419;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
17;32;Milho;40.00;Solo umido;2219;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
18;34;Milho;40.00;Solo umido;2105;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
19;36;Milho;66.50;Solo umido;2192;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
20;38;Milho;63.50;Solo umido;2003;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
21;40;Milho;67.50;Solo umido;1994;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
22;42;Milho;67.50;Solo umido;1879;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
23;44;Milho;40.50;Solo umido;1792;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
24;46;Milho;10.50;Solo seco;1658;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
25;48;Milho;10.50;Solo seco;1637;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
26;50;Milho;10.50;Solo seco;1548;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
27;52;Milho;10.50;Solo seco;1400;Acido;pH fora da faixa ideal;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o pH esta fora da faixa ideal
28;54;Milho;10.50;Solo seco;1327;Acido;pH fora da faixa ideal;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o pH esta fora da faixa ideal
29;56;Milho;10.50;Solo seco;1513;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
30;58;Milho;10.50;Solo seco;1666;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
31;60;Milho;10.50;Solo seco;1781;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
32;62;Milho;10.50;Solo seco;1752;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
33;64;Milho;10.50;Solo seco;1745;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
34;66;Milho;10.50;Solo seco;1765;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
35;69;Milho;10.50;Solo seco;1901;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
