id_leitura,datahora,cultura,umidade_solo,temperatura_ar,ph_solo,nitrogenio_n,fosforo_p,potassio_k,valor_ldr,produtividade_t_ha,volume_irrigacao_mm,origem
1,2026-01-01 06:00:00,Milho,79.8,33.2,5.28,48.8,0.0,59.4,612,10.03,0.3,simulado
2,2026-01-01 06:30:00,Milho,50.5,26.1,6.54,57.8,100.0,5.6,2232,13.04,12.8,simulado
3,2026-01-01 07:00:00,Milho,54.0,27.9,6.61,12.3,13.6,21.2,2318,12.03,8.4,real
4,2026-01-01 07:30:00,Milho,80.4,21.3,8.07,51.7,35.5,81.4,4095,8.71,0.0,simulado
5,2026-01-01 08:00:00,Milho,100.0,23.6,5.81,97.2,38.7,3.6,1288,8.23,1.1,simulado
6,2026-01-01 08:30:00,Milho,69.4,30.9,6.17,45.1,72.4,70.9,1755,15.12,0.9,simulado
7,2026-01-01 09:00:00,Milho,75.6,28.1,5.13,5.9,86.5,0.7,424,11.44,1.5,simulado
8,2026-01-01 09:30:00,Milho,100.0,22.7,5.99,13.4,34.2,65.0,1526,7.88,0.5,simulado
9,2026-01-01 10:00:00,Milho,87.7,22.8,4.68,38.8,55.1,24.7,0,6.65,0.0,simulado
10,2026-01-01 10:30:00,Milho,59.0,23.9,6.29,31.4,79.7,36.3,1910,14.74,6.6,simulado
11,2026-01-01 11:00:00,Milho,50.9,17.5,5.64,49.6,69.1,54.4,1070,10.8,10.2,simulado
12,2026-01-01 11:30:00,Milho,39.3,26.6,5.85,70.1,48.5,69.8,1339,10.28,17.2,simulado
13,2026-01-01 12:00:00,Milho,45.8,17.7,6.31,69.5,34.4,70.2,1937,12.18,11.1,simulado
14,2026-01-01 12:30:00,Milho,29.9,30.3,5.52,64.2,44.3,95.8,920,7.17,28.0,simulado
15,2026-01-01 13:00:00,Milho,73.7,28.5,5.02,50.5,28.9,0.0,281,10.86,0.0,simulado
16,2026-01-01 13:30:00,Milho,63.0,29.3,6.26,50.3,38.0,67.8,1871,16.0,4.6,simulado
17,2026-01-01 14:00:00,Milho,93.6,35.6,6.31,49.1,67.3,68.6,1929,9.26,0.0,simulado
